hour	day	month	year	cluster
0	1	1	1979	(4,4)
6	1	1	1979	(4,4)
12	1	1	1979	(4,4)
18	1	1	1979	(4,4)
0	2	1	1979	(2,1)
6	2	1	1979	(4,2)
12	2	1	1979	(4,2)
18	2	1	1979	(4,2)
0	3	1	1979	(4,2)
6	3	1	1979	(4,2)
12	3	1	1979	(4,2)
18	3	1	1979	(4,2)
0	4	1	1979	(4,2)
6	4	1	1979	(4,2)
12	4	1	1979	(4,2)
18	4	1	1979	(4,4)
0	5	1	1979	(4,4)
6	5	1	1979	(4,4)
12	5	1	1979	(4,4)
18	5	1	1979	(3,1)
0	6	1	1979	(3,1)
6	6	1	1979	(4,4)
12	6	1	1979	(4,4)
18	6	1	1979	(4,4)
0	7	1	1979	(4,3)
6	7	1	1979	(2,1)
12	7	1	1979	(2,1)
18	7	1	1979	(2,1)
0	8	1	1979	(2,1)
6	8	1	1979	(2,2)
12	8	1	1979	(2,2)
18	8	1	1979	(2,2)
0	9	1	1979	(2,2)
6	9	1	1979	(2,2)
12	9	1	1979	(2,2)
18	9	1	1979	(2,2)
0	10	1	1979	(2,2)
6	10	1	1979	(2,1)
12	10	1	1979	(2,1)
18	10	1	1979	(2,1)
0	11	1	1979	(2,1)
6	11	1	1979	(4,2)
12	11	1	1979	(4,2)
18	11	1	1979	(4,2)
0	12	1	1979	(4,2)
6	12	1	1979	(4,2)
12	12	1	1979	(4,2)
18	12	1	1979	(4,2)
0	13	1	1979	(4,4)
6	13	1	1979	(4,2)
12	13	1	1979	(3,4)
18	13	1	1979	(3,4)
0	14	1	1979	(4,2)
6	14	1	1979	(4,2)
12	14	1	1979	(4,2)
18	14	1	1979	(4,2)
0	15	1	1979	(4,2)
6	15	1	1979	(4,2)
12	15	1	1979	(4,2)
18	15	1	1979	(4,2)
0	16	1	1979	(4,2)
6	16	1	1979	(4,2)
12	16	1	1979	(4,2)
18	16	1	1979	(4,2)
0	17	1	1979	(4,2)
6	17	1	1979	(4,2)
12	17	1	1979	(4,2)
18	17	1	1979	(4,2)
0	18	1	1979	(4,2)
6	18	1	1979	(3,3)
12	18	1	1979	(3,3)
18	18	1	1979	(3,3)
0	19	1	1979	(3,3)
6	19	1	1979	(3,3)
12	19	1	1979	(3,3)
18	19	1	1979	(3,3)
0	20	1	1979	(3,3)
6	20	1	1979	(3,3)
12	20	1	1979	(3,3)
18	20	1	1979	(3,3)
0	21	1	1979	(3,3)
6	21	1	1979	(3,3)
12	21	1	1979	(3,3)
18	21	1	1979	(3,3)
0	22	1	1979	(3,3)
6	22	1	1979	(2,4)
12	22	1	1979	(2,4)
18	22	1	1979	(2,4)
0	23	1	1979	(4,2)
6	23	1	1979	(4,2)
12	23	1	1979	(3,4)
18	23	1	1979	(3,4)
0	24	1	1979	(3,4)
6	24	1	1979	(4,4)
12	24	1	1979	(4,4)
18	24	1	1979	(4,4)
0	25	1	1979	(4,4)
6	25	1	1979	(4,4)
12	25	1	1979	(4,4)
18	25	1	1979	(4,4)
0	26	1	1979	(4,4)
6	26	1	1979	(4,4)
12	26	1	1979	(4,2)
18	26	1	1979	(4,2)
0	27	1	1979	(4,2)
6	27	1	1979	(4,2)
12	27	1	1979	(4,2)
18	27	1	1979	(4,2)
0	28	1	1979	(4,2)
6	28	1	1979	(4,2)
12	28	1	1979	(4,2)
18	28	1	1979	(4,2)
0	29	1	1979	(4,2)
6	29	1	1979	(4,2)
12	29	1	1979	(4,2)
18	29	1	1979	(4,2)
0	30	1	1979	(4,2)
6	30	1	1979	(4,2)
12	30	1	1979	(2,1)
18	30	1	1979	(2,1)
0	31	1	1979	(2,1)
6	31	1	1979	(2,1)
12	31	1	1979	(2,1)
18	31	1	1979	(2,2)
0	1	2	1979	(2,2)
6	1	2	1979	(2,2)
12	1	2	1979	(2,2)
18	1	2	1979	(2,2)
0	2	2	1979	(4,2)
6	2	2	1979	(4,2)
12	2	2	1979	(4,2)
18	2	2	1979	(4,3)
0	3	2	1979	(4,2)
6	3	2	1979	(4,2)
12	3	2	1979	(4,2)
18	3	2	1979	(4,2)
0	4	2	1979	(4,2)
6	4	2	1979	(4,2)
12	4	2	1979	(2,1)
18	4	2	1979	(2,1)
0	5	2	1979	(2,1)
6	5	2	1979	(2,1)
12	5	2	1979	(2,2)
18	5	2	1979	(3,3)
0	6	2	1979	(3,3)
6	6	2	1979	(3,3)
12	6	2	1979	(3,3)
18	6	2	1979	(2,3)
0	7	2	1979	(2,4)
6	7	2	1979	(2,4)
12	7	2	1979	(2,4)
18	7	2	1979	(1,4)
0	8	2	1979	(1,4)
6	8	2	1979	(1,4)
12	8	2	1979	(1,4)
18	8	2	1979	(1,4)
0	9	2	1979	(1,4)
6	9	2	1979	(1,3)
12	9	2	1979	(1,2)
18	9	2	1979	(1,2)
0	10	2	1979	(4,3)
6	10	2	1979	(4,3)
12	10	2	1979	(4,2)
18	10	2	1979	(4,2)
0	11	2	1979	(3,3)
6	11	2	1979	(3,3)
12	11	2	1979	(3,3)
18	11	2	1979	(3,3)
0	12	2	1979	(1,4)
6	12	2	1979	(1,4)
12	12	2	1979	(2,1)
18	12	2	1979	(2,1)
0	13	2	1979	(2,1)
6	13	2	1979	(2,1)
12	13	2	1979	(2,1)
18	13	2	1979	(2,1)
0	14	2	1979	(1,3)
6	14	2	1979	(1,4)
12	14	2	1979	(1,4)
18	14	2	1979	(1,4)
0	15	2	1979	(4,2)
6	15	2	1979	(4,2)
12	15	2	1979	(4,2)
18	15	2	1979	(4,2)
0	16	2	1979	(4,2)
6	16	2	1979	(4,2)
12	16	2	1979	(4,2)
18	16	2	1979	(4,2)
0	17	2	1979	(4,2)
6	17	2	1979	(4,2)
12	17	2	1979	(4,2)
18	17	2	1979	(1,2)
0	18	2	1979	(1,2)
6	18	2	1979	(1,3)
12	18	2	1979	(1,3)
18	18	2	1979	(1,3)
0	19	2	1979	(2,3)
6	19	2	1979	(2,3)
12	19	2	1979	(2,3)
18	19	2	1979	(2,3)
0	20	2	1979	(2,3)
6	20	2	1979	(2,3)
12	20	2	1979	(3,3)
18	20	2	1979	(2,4)
0	21	2	1979	(2,4)
6	21	2	1979	(2,4)
12	21	2	1979	(3,4)
18	21	2	1979	(3,4)
0	22	2	1979	(3,4)
6	22	2	1979	(3,4)
12	22	2	1979	(3,4)
18	22	2	1979	(3,4)
0	23	2	1979	(3,4)
6	23	2	1979	(2,1)
12	23	2	1979	(2,1)
18	23	2	1979	(1,2)
0	24	2	1979	(1,2)
6	24	2	1979	(1,3)
12	24	2	1979	(1,4)
18	24	2	1979	(1,4)
0	25	2	1979	(1,4)
6	25	2	1979	(1,4)
12	25	2	1979	(1,4)
18	25	2	1979	(1,4)
0	26	2	1979	(1,4)
6	26	2	1979	(1,4)
12	26	2	1979	(1,3)
18	26	2	1979	(1,3)
0	27	2	1979	(1,3)
6	27	2	1979	(1,3)
12	27	2	1979	(1,3)
18	27	2	1979	(1,3)
0	28	2	1979	(1,3)
6	28	2	1979	(1,3)
12	28	2	1979	(1,3)
18	28	2	1979	(1,3)
